X,Y,Text,Font,Color,Size,Speed,Borntime
1,0.5,「⋯⋯訊息接收,chFont,#9B9B9B,36,6,10000
1,0.5,正在發送數據,chFont,#9B9B9B,36,6,18000
1,0.5,訊號連結,chFont,#B80A0A,36,6,25000
1,0.5,調頻：2400赫茲,chFont,#9B9B9B,36,6,35000
1,0.5,準備接收,chFont,#9B9B9B,36,6,40000
1,0.45,高分辨率圖像傳輸: 360行/分鐘,chFont,#9B9B9B,28,6,47000
1,0.55,自動圖像傳輸：120行/分鐘,chFont,#9B9B9B,28,6,47000
1,0.5,確認接收,chFont,#9B9B9B,36,6,55000
1,0.5,接收中⋯⋯,chFont,#9B9B9B,36,6,65000
1,0.52,操作系統：美国国家海洋和大气管理局,chFont,#9B9B9B,40,6,75000
1,0.55,任務分類：氣象,chFont,#9B9B9B,28,6,75000
1,0.54,最大高空經過時間：16分鐘,chFont,#9B9B9B,36,6,85000
1,0.56,軌道速度：101分鐘 （極點到極點）,chFont,#9B9B9B,30,6,95000
1,0.5,[--------------------------,enFont,#9B9B9B,36,6,125000
1,0.55, --------------------------,enFont,#9B9B9B,36,6,125000
1,0.56, --------------------------,enFont,#9B9B9B,36,6,125000
1,0.57, --------------------------],enFont,#9B9B9B,36,6,125000
1,0.64,接收NOAA氣象衛星訊號,chFont,#9B9B9B,36,6,105000
