X,Y,Text,Font,Color,Size,Speed,Borntime
1,0.5,WEATHER,enFont,#B80A0A,16,6,10000
1,0.5,CLOUND,enFont,#9B9B9B,16,6,18000
1,0.5,HURRICANE,enFont,#9B9B9B,16,6,25000
1,0.5,ATMOSPHERIC PRESSURE,enFont,#9B9B9B,16,6,30000
1,0.5,HEAT,enFont,#9B9B9B,16,6,35000
1,0.5,SHOWER,enFont,#9B9B9B,16,6,40000
1,0.5,THUNDER,enFont,#9B9B9B,16,6,45000
1,0.5,BLUE PLANET,enFont,#0909E3,25,6,100000
1,0.5,BLUE,enFont,#0909E3,25,6,105000
1,0.5,PLANET,enFont,#FFF,25,6,115000
1,0.5,PLANE,enFont,#FFF,25,6,135000
1,0.5,BLUE PLANE,enFont,#0909E3,25,6,145000
1,0.5,PLANETARY,enFont,#FFF,25,6,150000
1,0.5,PLANE PLANETARY,enFont,#FFF,25,6,155000
1,0.4,PREDICTION,enFont,#9B9B9B,16,6,165000
1,0.6,MODELING,enFont,#9B9B9B,16,6,165000
